Recency,Frequency,Monetary,Is_Churn
13,361,14468.08,0
134,8,101.19,1
33,250,4961.7,0
33,4,376.44,0
33,1,76.5,1
75,36,935.22,0
272,10,350.06,1
57,24,369.85,0
37,104,1042.24,0
13,176,10787.06,0
84,55,878.55,0
38,30,501.14,1
21,66,841.77,0
108,48,799.7,0
138,1,30.6,1
169,50,283.73,1
140,54,903.6700000000001,0
152,150,2574.12,0
153,66,1077.42,0
87,14,324.90000000000003,0
161,3,77.3,1
173,7,109.8,1
83,46,885.74,0
96,1,3096.0,1
42,65,1226.68,0
3,323,1457.75,0
33,33,489.45,0
9,50,1710.94,0
8,46,423.72,1
114,89,1401.03,0
232,3,110.95,1
27,2,413.8,0
33,246,2789.87,0
6,64,1132.6200000000001,0
195,74,1257.8700000000001,1
226,63,569.2,0
41,43,873.2,0
19,56,868.1700000000001,0
6,77,851.59,0
213,8,112.75,1
22,79,1688.29,1
251,13,354.64,0
183,41,417.2,1
30,36,417.55,0
99,112,972.66,0
152,6,505.2,0
199,23,140.35,0
267,23,165.94,0
216,242,2108.27,0
33,205,4391.7300000000005,0
1,72,2394.98,0
30,160,1504.44,0
167,1,71.4,1
28,51,988.34,0
237,37,236.02,1
15,18,127.0,0
105,33,464.32,0
35,3,60.7,1
162,34,512.13,0
20,202,3009.18,0
3,63,4553.84,0
26,14,319.32,0
20,20,309.86,0
50,5,197.52000000000004,0
55,112,835.07,0
28,238,4156.08,0
261,2,110.7,0
28,51,963.88,0
167,5,333.74,1
22,4,533.98,1
27,5,62.64,1
85,17,726.49,0
140,66,847.41,1
100,5,163.2,1
51,42,1212.26,0
43,21,4299.56,0
173,16,108.21000000000001,1
101,9,257.7,1
125,10,160.95,1
38,457,2234.18,0
80,132,878.45,0
236,17,304.24,0
112,58,1031.07,1
6,21,439.23,0
63,16,318.85,0
161,21,329.56,1
73,52,553.61,0
12,13,270.40000000000003,1
103,58,600.07,1
76,115,1860.99,0
24,26,465.68,1
161,2,291.84,0
56,36,1030.4,1
273,6,225.7,0
105,15,224.62,0
168,9,944.1,1
163,11,200.29,1
8,1160,4870.68,0
83,62,1465.66,0
12,117,2535.58,0
10,132,2800.94,0
69,300,2150.25,0
9,209,2981.45,0
266,1,590.0,1
13,16,138.98,1
16,4,125.9,0
22,85,814.86,1
62,22,773.1,0
85,2,25.5,0
230,13,201.19,1
61,137,1970.1,0
55,42,361.11,1
184,14,249.57,0
89,54,873.74,1
259,10,201.20000000000002,1
37,5,87.4,1
168,5,142.5,1
69,20,371.89,1
3,81,618.09,1
55,1,63.75,1
251,21,300.42,1
15,42,1085.75,0
20,1,15.0,1
103,26,814.95,0
106,47,546.64,0
106,52,817.65,0
50,24,490.11,0
41,47,918.34,0
31,49,3779.98,0
98,68,1313.98,0
13,331,6897.070000000001,0
6,70,981.15,0
103,39,3798.99,0
12,87,2738.75,0
216,17,1308.48,1
266,7,304.2,0
85,27,728.22,0
90,215,2731.84,0
57,19,487.02,1
100,54,860.12,1
5,112,9229.54,0
160,42,775.85,1
77,19,353.43,1
177,68,1656.15,0
187,20,389.5,1
22,32,674.7,1
157,90,609.95,1
168,29,439.03000000000003,1
145,93,1581.53,0
117,39,700.6,0
156,29,623.4,1
265,14,308.28000000000003,1
271,39,754.87,1
58,106,2055.58,0
103,39,770.0,0
36,13,136.29,0
13,116,2461.33,0
180,15,222.99,1
28,74,1755.84,0
229,35,534.57,1
31,35,677.1,1
132,18,257.89,0
103,1,59.8,1
15,95,1543.45,0
85,21,307.72,1
219,15,387.27000000000004,0
10,29,1228.19,0
92,26,457.34000000000003,1
27,39,621.23,1
112,9,217.81,0
104,25,557.45,0
6,310,17408.08,0
87,15,545.04,0
7,18,213.55,1
33,24,1390.5,1
105,10,236.0,0
24,221,4342.13,0
49,8,159.85,1
190,64,825.04,0
8,78,1624.21,1
82,83,1558.68,0
20,23,464.86,0
10,37,1088.12,0
29,112,2024.25,0
155,54,283.71,1
118,71,1423.26,0
24,43,1421.46,0
26,373,2463.39,0
159,2,590.0,1
65,17,356.98,1
266,30,692.94,0
55,23,855.0600000000001,0
35,278,7355.4400000000005,0
38,17,884.2,0
152,9,151.5,1
84,17,307.90000000000003,1
7,227,4255.53,0
15,7,115.5,0
232,12,241.26,0
136,64,229.59,1
91,86,1431.78,1
78,58,1238.47,1
38,49,899.55,0
100,15,300.95,1
8,82,1361.33,0
132,11,184.64000000000001,1
141,8,313.8,1
133,23,454.24,1
28,52,819.61,0
113,24,408.8,0
20,306,6596.38,0
5,14,449.52,1
47,78,1088.45,0
36,50,1269.84,1
175,8,618.63,1
211,18,316.26000000000005,1
132,28,1072.43,0
259,26,501.01,0
182,19,348.05,1
125,21,463.79,0
22,20,326.40000000000003,0
188,52,1340.32,1
174,9,189.16000000000003,0
66,123,2583.12,0
216,26,458.52,1
7,108,1636.47,0
143,12,110.97,1
49,29,665.02,0
83,38,585.32,0
160,15,251.21,1
26,10,205.1,1
17,35,523.96,0
138,7,146.0,0
6,108,1612.18,0
37,72,2947.98,0
99,102,2369.24,0
1,18,408.86,0
148,2,282.88,0
5,130,1366.42,0
104,7,181.1,0
105,22,483.8,1
82,76,270.79,1
7,234,4371.53,0
20,18,891.75,0
140,21,315.65,0
140,49,122.91,0
100,27,188.16,0
143,61,281.01,0
42,43,762.0500000000001,0
219,4,91.80000000000001,1
23,76,2762.91,0
101,55,1590.05,0
180,16,240.68,0
115,14,141.85999999999999,1
41,53,1209.73,0
40,39,310.88,0
44,83,1749.02,1
234,13,110.17999999999999,0
73,44,192.85,1
267,24,118.32,0
143,27,239.49,1
27,132,801.15,0
105,33,1384.25,1
153,3,31.770000000000003,0
33,13,218.75,0
13,65,4517.21,0
48,46,822.1,0
269,9,164.7,0
209,10,118.0,1
55,53,781.03,1
206,24,142.4,1
20,81,1075.62,0
79,9,147.0,0
50,51,1116.38,0
104,38,776.23,0
105,13,205.51,0
8,128,2037.0800000000002,1
56,86,2313.84,0
212,19,219.52,1
111,42,373.2,0
143,40,250.42,0
10,169,776.21,0
70,32,636.72,0
64,90,794.98,0
218,23,417.69,1
13,28,365.7,0
73,13,177.34,1
16,19,213.85,1
110,64,551.92,0
152,19,257.23,1
76,64,1027.0,0
36,45,4897.36,0
5,61,1361.46,0
43,10,3017.92,0
73,85,814.6,0
6,93,783.77,0
22,41,646.55,0
87,93,684.85,0
115,66,354.8,1
85,6,87.9,0
5,48,851.09,0
20,5,252.1,1
75,33,803.86,0
156,23,346.6,1
107,36,745.5200000000001,0
156,38,638.24,0
45,109,1714.27,0
14,56,932.97,1
64,49,379.65,1
101,9,152.34,0
104,32,933.3,0
105,104,1573.2,1
112,35,532.94,0
79,13,189.47,1
187,8,64.05,0
49,87,305.02,1
13,332,4934.87,0
49,3,48.150000000000006,0
201,6,186.39000000000001,1
51,25,486.82000000000005,1
51,16,232.6,1
237,70,2391.59,0
55,13,203.46,0
87,3,59.5,1
185,30,67.23,1
82,8,72.0,1
113,32,871.58,0
7,445,45911.64,0
19,50,1385.53,0
55,14,308.58000000000004,1
76,116,1245.8,0
218,1,99.5,1
44,21,522.68,0
202,20,330.79,1
167,48,806.41,1
171,51,296.88,1
1,169,2939.21,0
118,13,252.06,1
146,10,228.84,1
181,105,1079.34,1
169,21,138.28,1
28,71,955.99,0
146,12,306.55,1
105,20,338.74,0
16,43,799.9,1
31,85,2375.41,1
117,6,199.85000000000002,1
69,95,1865.7,0
0,23,292.68,0
7,50,797.02,0
35,43,752.6,1
119,38,610.59,1
75,102,1409.69,0
160,76,357.53,0
100,30,339.6,1
140,23,350.75,1
83,20,363.13,0
62,264,2648.7200000000003,0
7,30,912.12,0
192,53,893.16,0
62,25,300.04,1
273,1,79.6,1
132,13,580.85,0
40,19,1316.63,0
188,9,296.25,1
24,76,1186.28,1
187,35,741.26,1
51,12,282.6,1
29,77,2558.34,0
101,95,2351.52,0
156,28,135.09,0
79,32,491.71,0
118,7,306.72,1
44,138,945.63,0
8,281,9676.37,0
22,85,1730.24,0
99,70,1464.8500000000001,0
139,36,228.42,0
29,119,12360.24,0
3,9,178.7,1
70,9,116.28000000000002,0
150,17,127.84,1
24,62,487.93,0
13,26,1968.6299999999999,0
267,7,230.4,1
264,7,106.4,0
27,11,1516.0,1
187,4,74.60000000000001,0
7,250,28066.24,0
16,39,688.86,1
209,33,558.32,1
38,60,4599.42,1
155,17,277.07,1
41,77,1355.11,0
29,6,500.24,0
267,7,112.6,1
205,12,155.05,1
83,13,814.5,1
5,20,278.74,0
34,17,385.14,0
37,31,617.54,0
72,136,2977.75,0
251,9,128.7,0
201,36,1140.35,1
44,59,385.64,1
35,36,1429.84,0
76,10,189.5,1
33,61,300.76,0
38,64,1455.3899999999999,0
59,29,384.8,1
55,34,537.34,0
111,19,271.24,1
17,119,479.59,0
152,1,85.0,1
55,132,2165.27,0
142,43,663.9300000000001,0
197,4,935.0,0
70,38,593.58,0
29,93,1595.48,1
28,69,1353.28,0
6,84,6145.16,0
68,14,388.5,1
226,28,201.16,1
8,110,1781.3,0
147,20,305.78,1
36,23,383.34000000000003,0
118,8,138.85,0
23,307,3104.9500000000003,1
1,88,2179.4700000000003,0
12,213,4074.2400000000002,0
19,23,389.6,1
258,18,540.45,1
33,81,1424.8,0
45,88,1680.76,0
7,101,6969.14,0
118,94,1742.78,0
177,10,196.25,0
89,28,506.8,1
104,19,349.55,1
19,40,605.63,1
7,30,501.11,0
146,3,54.519999999999996,0
197,21,821.1,1
210,10,160.85,0
43,45,937.3000000000001,0
225,12,155.93,1
174,15,298.5,0
83,43,740.95,1
7,134,2652.28,0
194,17,201.12,0
26,76,1461.61,0
44,144,2437.63,0
91,5,65.38,0
153,8,198.20000000000002,0
21,16,213.15,0
251,7,172.25,1
21,33,496.05,0
6,13,225.45000000000002,0
69,9,842.65,1
36,10,210.0,0
180,20,378.21000000000004,0
194,16,307.4,1
9,23,608.79,1
163,31,922.1,1
79,26,376.58,1
69,9,158.85,1
8,34,390.21,0
16,27,391.06,0
71,28,2831.26,0
101,9,485.96999999999997,0
260,3,102.0,1
146,7,179.31,0
76,39,674.45,1
117,137,3251.071,1
15,12,2604.36,0
54,33,322.96,1
38,112,680.27,0
181,34,337.44,0
145,7,117.6,0
208,35,664.54,1
45,2,80.7,1
7,352,3911.35,0
6,108,1985.9,0
101,9,145.9,0
187,11,264.7,1
28,214,1497.71,0
106,10,357.98,1
63,73,1230.14,0
87,76,1681.06,0
26,12,819.33,0
7,156,2773.04,0
62,112,1923.5,0
139,23,896.67,0
113,16,311.3,1
43,7,126.35,0
0,93,2247.41,0
5,21,419.56,0
15,54,871.9,0
15,139,2561.94,0
111,15,635.66,1
132,24,1309.14,0
34,47,529.73,1
8,107,2962.26,0
33,38,696.56,0
15,30,962.19,1
98,42,695.61,1
177,11,328.8,1
10,34,473.02,1
61,161,4341.21,1
38,25,384.29,0
55,22,631.9,1
125,28,440.0,1
150,16,273.14,0
21,16,327.7,1
44,6,165.20000000000002,0
21,164,1657.5,0
26,174,9627.03,0
68,96,1845.3700000000001,0
57,25,473.90999999999997,0
7,26,837.26,0
184,38,626.65,1
76,28,147.20000000000002,1
44,65,1086.42,0
17,170,2485.91,0
166,21,141.41,1
3,185,542.11,0
9,6,1659.75,1
184,14,154.99,1
99,18,635.92,0
205,85,409.93,1
58,276,3285.39,0
6,37,485.98,0
13,124,8687.44,0
24,4,260.25,1
6,10,725.6400000000001,1
7,745,5382.51,0
0,238,4811.98,0
166,8,183.6,1
8,139,4102.78,0
12,89,7801.79,0
13,58,1097.68,0
166,7,152.55,1
220,24,265.85,1
160,29,356.81,0
161,18,307.92,0
29,46,122.47,1
82,34,310.4,0
1,65,1049.37,1
24,12,375.1,1
202,153,934.52,1
264,29,182.25,1
26,102,548.92,0
41,346,3248.19,0
28,295,25507.89,0
224,1,76.32000000000001,1
31,139,2437.8,0
1,6,21.84,0
20,200,2309.92,0
37,26,194.9,1
42,30,4944.39,0
54,21,216.21,1
139,74,1266.23,1
76,90,1836.84,0
1,16,291.33,0
19,102,3259.62,0
6,3,247.2,0
30,110,1900.82,0
254,2,433.5,0
173,15,386.53,1
21,17,319.97,0
43,3,90.0,1
22,44,709.71,1
155,22,305.54,0
160,16,358.90000000000003,0
219,67,483.86,1
13,87,1552.46,0
29,28,605.64,1
5,106,3190.32,0
5,16,285.16,0
273,22,311.81,1
33,7,115.8,1
56,8,2851.2,0
154,65,1903.73,0
185,2,182.8,0
133,3,157.2,1
120,28,446.62,1
259,12,306.18,0
134,29,314.51,0
139,52,1345.62,1
166,6,118.75,1
14,1046,85001.9,0
185,39,277.17,0
44,580,2184.21,0
115,108,1110.52,1
73,25,289.36,1
52,42,1659.39,0
175,25,122.53999999999999,1
65,41,402.1,0
119,11,114.04,0
71,59,1205.99,0
197,31,576.9000000000001,1
79,20,118.08,0
43,86,312.89,0
6,214,4110.12,0
231,3,197.65,1
9,43,1383.46,0
13,164,2906.96,0
8,113,2258.26,0
169,23,422.54,0
6,317,5666.45,0
101,7,1012.0,1
6,6,335.52,1
45,21,356.95,0
118,2,185.39999999999998,1
49,24,521.24,0
164,14,222.9,0
139,20,328.15999999999997,1
21,81,1876.33,0
5,102,1905.8400000000001,1
107,48,909.89,0
56,59,899.16,0
86,62,1098.27,0
55,56,1085.0,0
147,21,632.4000000000001,1
13,137,2617.01,0
77,41,683.17,1
57,39,656.59,0
10,118,1050.1200000000001,1
110,42,1709.4,0
96,134,2399.52,0
191,26,762.13,0
83,50,925.71,1
15,91,1573.33,0
111,20,959.1,0
57,72,2802.86,0
272,3,189.3,0
273,9,161.0,1
226,8,146.85,1
30,73,1415.54,0
125,10,226.85000000000002,0
83,10,213.70000000000002,1
134,16,280.55,1
40,112,1990.78,0
119,108,1693.45,1
10,75,1474.06,1
178,20,136.77,1
218,8,302.58,1
160,53,969.0600000000001,1
23,100,2725.84,0
51,87,9386.32,0
41,5,120.0,1
7,51,855.0,0
54,17,333.97,1
9,31,530.18,1
62,55,1516.24,1
231,29,492.65000000000003,1
125,10,112.32000000000001,1
154,8,132.09,0
36,23,450.05,0
80,43,720.4,0
112,75,1637.43,0
96,8,134.04,1
9,94,2495.44,0
76,1,5.9,0
142,141,2050.08,0
98,4,83.28,0
113,16,426.6,1
34,42,832.78,0
261,23,777.5600000000001,0
20,139,2355.54,0
45,62,2590.21,0
47,40,739.41,0
174,11,232.6,0
23,1112,35591.84,0
7,76,2437.14,0
17,13,640.14,1
122,17,383.45,1
13,63,1048.45,0
34,144,2307.89,0
68,68,1310.02,0
142,20,310.26,1
86,49,854.59,0
6,8,120.0,1
29,68,1550.15,0
106,31,477.79,1
16,78,900.65,0
14,36,605.0600000000001,1
142,8,183.85,1
63,12,311.65000000000003,1
8,193,3485.03,0
24,28,462.66,1
47,2,119.04,0
22,128,2013.51,0
98,59,1114.39,0
61,31,588.22,1
142,14,309.52000000000004,1
118,6,134.7,1
30,66,1139.52,0
37,11,419.74,0
27,71,889.9300000000001,1
20,60,1021.58,1
160,18,409.57,1
174,18,282.93,1
64,1,51.0,1
57,47,1078.96,1
115,6,90.6,1
265,11,174.4,1
8,69,3717.35,1
37,337,5448.45,0
219,8,155.0,1
195,4,100.5,1
258,4,76.55,1
85,75,257.68,1
91,11,617.05,1
195,17,110.98,0
63,15,242.09,0
196,7,142.4,1
9,40,440.76,0
21,109,1835.11,0
90,19,311.14,0
44,143,1592.66,0
118,5,67.95,1
77,186,1966.22,0
271,34,110.35000000000001,0
9,35,856.0,0
49,25,574.7,1
7,121,2766.2999999999997,0
30,20,1475.81,1
8,90,1347.52,0
19,8,156.75,1
7,73,2157.73,1
30,95,1996.51,0
22,46,1943.73,0
41,148,979.98,0
210,14,1063.0,1
262,23,122.7,1
9,73,1137.08,0
23,316,3339.33,0
8,19,150.44,0
152,58,307.56,0
111,15,455.18,0
70,61,1032.15,0
118,3,265.2,1
40,174,2885.58,0
139,28,330.62,0
202,17,470.36,1
265,5,63.0,1
206,9,131.9,1
219,32,2661.24,1
216,31,1185.71,0
155,13,356.84000000000003,0
104,63,1589.82,1
38,65,991.52,0
146,83,303.04,0
96,39,601.03,0
264,18,102.35000000000001,0
146,107,401.3,0
80,40,483.25,1
94,52,360.0,0
90,22,119.93,1
31,241,636.65,0
210,4,113.64,1
55,37,1837.92,1
10,16,434.34,1
48,180,2103.06,1
20,189,1534.1,0
70,4,309.42,0
146,130,1058.6200000000001,1
15,48,1580.45,0
212,15,131.7,0
187,35,297.64,0
3,281,1936.84,1
182,1,85.0,0
86,28,622.1700000000001,0
157,19,215.7,1
84,3,523.0,0
153,18,316.25,1
64,30,636.51,1
139,15,238.1,0
181,9,137.1,1
268,13,125.10000000000001,0
107,30,463.38,1
75,17,340.93,1
55,29,611.22,0
21,2,40.6,0
211,19,538.8100000000001,1
209,29,475.37,1
16,119,1281.79,0
33,88,370.96000000000004,0
12,6,335.85,0
83,10,251.21,1
49,285,1176.01,0
78,40,597.07,0
143,96,542.71,0
9,524,4255.64,0
62,104,831.66,0
1,81,924.6899999999999,0
33,6,138.16,0
87,23,275.28,1
0,12,455.59000000000003,1
101,39,403.11,0
91,30,765.65,0
41,14,252.45,0
190,1,165.0,0
98,7,278.63,0
8,12,241.09,1
78,142,1052.72,0
0,199,2926.14,0
7,619,5136.4,0
10,50,135.24,0
28,144,2021.27,0
136,64,932.85,1
12,24,734.98,0
19,376,2904.05,0
27,192,1653.91,0
159,19,171.8,1
156,3,106.5,0
209,11,195.9,0
68,108,1315.65,0
85,5,103.25,1
8,63,3265.1,0
261,57,1121.92,0
101,142,874.88,0
50,4,652.8,1
211,56,289.24,1
104,7,125.43,0
51,58,165.07,1
118,39,312.32,0
202,16,197.94,0
9,44,1414.0,0
62,36,566.99,0
27,171,1985.3500000000001,0
13,109,2560.32,0
10,4,1432.0,1
30,13,800.76,0
180,29,218.06,1
10,214,2089.44,0
79,235,1653.42,1
272,1,35.400000000000006,1
63,90,646.64,0
44,230,787.64,0
69,100,1042.26,1
176,19,237.35999999999999,1
84,363,1473.53,0
271,3,39.75,1
113,45,250.22,0
98,64,339.59,0
273,31,255.0,0
213,5,163.8,0
91,3,165.1,0
